Gre word list with synonym 

Here is a useful GRE high-frequency word list with synonyms (exam-oriented, commonly tested in reading + vocab sections):

📚 GRE Word List (With Synonyms)

1. Aberration – deviation, anomaly, irregularity
2. Abate – lessen, reduce, diminish
3. Abhor – hate, detest, loathe
4. Abridge – shorten, condense, truncate
5. Ambiguous – unclear, vague, equivocal
6. Ambivalent – undecided, conflicted, torn
7. Antagonize – provoke, irritate, oppose
8. Arduous – difficult, strenuous, tough
9. Assertive – confident, forceful, self-assured
10. Benevolent – kind, charitable, generous

11. Candid – honest, frank, direct
12. Coerce – force, pressure, compel
13. Concur – agree, approve, consent
14. Conspicuous – obvious, noticeable, prominent
15. Cryptic – mysterious, unclear, puzzling
16. Curt – brief, rude, abrupt
17. Debilitate – weaken, enfeeble, drain
18. Deference – respect, regard, submission
19. Eloquent – expressive, fluent, articulate
20. Emulate – imitate, copy, mirror

21. Enigmatic – mysterious, puzzling, baffling
22. Ephemeral – short-lived, temporary, fleeting
23. Eradicate – eliminate, destroy, wipe out
24. Facilitate – ease, assist, enable
25. Frugal – economical, thrifty, stingy
26. Gregarious – sociable, outgoing, friendly
27. Impeccable – flawless, perfect, faultless
28. Incessant – nonstop, constant, relentless
29. Lucid – clear, understandable, coherent
30. Meticulous – careful, precise, thorough
